Data;Dia da Semana;Descrição da Aula
03/08/2023;quinta-feira;Apresentação da disciplina.Apresentação do professor. Apresentação dos alunos.
08/08/2023;terça-feira;Interface do Autocad
10/08/2023;quinta-feira;Desenho por coordenadas
15/08/2023;terça-feira;Comandos de criação e edição - parte 1
17/08/2023;quinta-feira;Comandos de criação e edição - parte 2
22/08/2023;terça-feira;Exercício casa - plantas baixas - parte 1
24/08/2023;quinta-feira;Exercício casa - plantas baixas - parte 2
29/08/2023;terça-feira;Exercício casa - cortes
31/08/2023;quinta-feira;Exercício casa - fachadas
05/09/2023;terça-feira;Dimensões, Cotas e Textos - parte 1
07/09/2023;quinta-feira;Feriado Independência do Brasil
12/09/2023;terça-feira;Dimensões, Cotas e Textos - parte 2
14/09/2023;quinta-feira;Layout e impressão
19/09/2023;terça-feira;Revisão - orientação
21/09/2023;quinta-feira;Revisão - orientação - Entrega via canvas
26/09/2023;terça-feira;Aula expositiva CAD x BIM
28/09/2023;quinta-feira;Revit interface - configuração das unidades
03/10/2023;terça-feira;Paredes: Paredes cortina
05/10/2023;quinta-feira; Janelas e portas
10/10/2023;terça-feira;Terreno, lajes e plataformas de construção - parte 1
12/10/2023;quinta-feira;Feriado N. Sra Aparecida
17/10/2023;terça-feira;Terreno, lajes e plataformas de construção - parte 2
19/10/2023;quinta-feira;Coberturas
24/10/2023;terça-feira;Escadas
26/10/2023;quinta-feira;Guarda corpo
31/10/2023;terça-feira;Revisão - orientação - Entrega via canvas
02/11/2023;quinta-feira;Ferioado dia de Finados
07/11/2023;terça-feira;Inserção de blocos de móveis e hidro-sanitários
09/11/2023;quinta-feira; Materiais e hachuras
14/11/2023;terça-feira;Margem e carimbo Plantas títulos e escalas
16/11/2023;quinta-feira;Cotas e textos
21/11/2023;terça-feira;identificadores de esquadrias
23/11/2023;quinta-feira;Tabelas de quantitativos
28/11/2023;terça-feira;Tabelas de quantitativos
30/11/2023;quinta-feira; Hierarquia de linhas no Revit
05/12/2023;terça-feira;Impressão
07/12/2023;quinta-feira;Revisão - orientação - Entrega via canvas
12/12/2023;terça-feira;2° Chamada das Avaliações 2023.2
14/12/2023;quinta-feira;Data limite para publicação de notas do 3º período
19/12/2023;terça-feira;Período de Provas Finais
21/12/2023;quinta-feira;Período de Provas Finais
26/12/2023;terça-feira; Data limite para publicação de resultados das provas finais
28/12/2023;quinta-feira; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
 ; ; 
Data;Dia da Semana;Descrição da Aula
01/08/23;segunda-feira; 
03/08/23;quarta-feira; 
08/08/23;segunda-feira;Introdução a Contabilidade
10/08/23;quarta-feira; 
15/08/23;segunda-feira;Comparativo entre a Contabilidade Financeira e Contabilidade Gerencial
17/08/23;quarta-feira; 
22/08/23;segunda-feira;Comparativo entre a Contabilidade Financeira e Contabilidade Gerencial
24/08/23;quarta-feira; 
29/08/23;segunda-feira;Balanço Patrimonial
31/08/23;quarta-feira; 
05/09/23;segunda-feira;Atos e Fatos Contábeis
07/09/23;quarta-feira;Feriado Independência do Brasil
12/09/23;segunda-feira;Importância da padronização para avaliação patrimonial
14/09/23;quarta-feira;1° Período de Avaliação 2022.2
19/09/23;segunda-feira;Modelos de Planos de contas
21/09/23;quarta-feira;1° Período de Avaliação 2022.2
26/09/23;segunda-feira;Conceito e importância dos princípios a Ciência Contábil
28/09/23;quarta-feira; 
03/10/23;segunda-feira;Aplicação dos Princípios nos registros Contábeis
05/10/23;quarta-feira; 
10/10/23;segunda-feira;Métodos de controle dos estoques
12/10/23;quarta-feira;Feriado Padroeira do Brasil
17/10/23;segunda-feira;Impactos dos tributos nos estoques
19/10/23;quarta-feira; 
24/10/23;segunda-feira;2° Período de de avaliações 2022.2
26/10/23;quarta-feira;2° Período de de avaliações 2022.2
31/10/23;segunda-feira;2° Período de de avaliações 2022.2
02/11/23;quarta-feira;Feriado dia de Finados
07/11/23;segunda-feira;Análise vertical e horizontal
09/11/23;quarta-feira; 
14/11/23;segunda-feira;Análise de Liquidez
16/11/23;quarta-feira; 
21/11/23;segunda-feira;Análise de Estrutura
23/11/23;quarta-feira; 
28/11/23;segunda-feira;Análise de Rentabilidade
30/11/23;quarta-feira; 
05/12/23;segunda-feira;3° Período de Avaliações 2022.6
07/12/23;quarta-feira;3° Período de Avaliações 2022.8
12/12/23;segunda-feira;2° Chamada Avaliações
14/12/23;quarta-feira;Data limite para lançamento de notas do 3° período no Portal
19/12/23;segunda-feira;Período de Provas Finais
21/12/23;quarta-feira;Período de Provas Finais
26/12/23;segunda-feira; 
08/07/23;quarta-feira; 
11/07/23;segunda-feira; 
15/07/23;quarta-feira; 
